time,open,high,low,close,tick_volume,spread,real_volume
2026-03-23 00:00:00,1.15416,1.15625,1.15405,1.1558,2858,0,0
2026-03-23 01:00:00,1.1558,1.15646,1.1557,1.15619,2864,0,0
2026-03-23 02:00:00,1.15619,1.15642,1.15385,1.15442,5062,0,0
2026-03-23 03:00:00,1.15443,1.15616,1.15442,1.15543,5516,0,0
2026-03-23 04:00:00,1.15543,1.15572,1.1543,1.15466,3349,0,0
2026-03-23 05:00:00,1.15466,1.15504,1.15419,1.15469,2416,0,0
2026-03-23 06:00:00,1.15469,1.15514,1.15453,1.15505,2057,0,0
2026-03-23 07:00:00,1.15505,1.15524,1.1534,1.1534,2770,0,0
2026-03-23 08:00:00,1.15341,1.1534200000000001,1.15198,1.15305,4896,0,0
2026-03-23 09:00:00,1.15305,1.15402,1.15232,1.15271,6640,0,0
2026-03-23 10:00:00,1.15271,1.15461,1.15247,1.15296,9009,0,0
2026-03-23 11:00:00,1.15296,1.15338,1.14902,1.14948,7256,0,0
2026-03-23 12:00:00,1.14948,1.15014,1.14835,1.14856,6830,0,0
2026-03-23 13:00:00,1.14856,1.1620300000000001,1.14856,1.15564,27001,0,0
2026-03-23 14:00:00,1.15564,1.16144,1.15457,1.16126,18181,0,0
2026-03-23 15:00:00,1.16126,1.1615199999999999,1.15798,1.1599599999999999,18444,0,0
2026-03-23 16:00:00,1.15998,1.16397,1.15929,1.16153,17707,0,0
2026-03-23 17:00:00,1.16153,1.16311,1.15821,1.15859,16465,0,0
2026-03-23 18:00:00,1.15859,1.16006,1.15761,1.15909,12693,0,0
2026-03-23 19:00:00,1.15909,1.16095,1.15866,1.16014,9630,0,0
2026-03-23 20:00:00,1.16014,1.16374,1.15919,1.16349,9499,0,0
2026-03-23 21:00:00,1.16349,1.16353,1.16123,1.16133,6214,0,0
2026-03-23 22:00:00,1.16132,1.16151,1.16087,1.16117,2178,2,0
2026-03-23 23:00:00,1.16117,1.16147,1.16095,1.16147,622,6,0
2026-03-24 00:00:00,1.16145,1.16175,1.1608100000000001,1.16144,1892,0,0
2026-03-24 01:00:00,1.16144,1.16158,1.1605,1.16079,2147,0,0
2026-03-24 02:00:00,1.16079,1.16086,1.1581,1.15884,5963,0,0
2026-03-24 03:00:00,1.15883,1.1595900000000001,1.15783,1.15846,5948,0,0
2026-03-24 04:00:00,1.15845,1.15923,1.15819,1.15859,4035,0,0
2026-03-24 05:00:00,1.15858,1.15892,1.15807,1.15822,3097,0,0
2026-03-24 06:00:00,1.15827,1.15833,1.15753,1.15801,2418,0,0
2026-03-24 07:00:00,1.15801,1.15891,1.15749,1.15833,4121,0,0
2026-03-24 08:00:00,1.15833,1.15923,1.1579,1.15917,4767,0,0
2026-03-24 09:00:00,1.15912,1.16177,1.15891,1.16085,7788,0,0
2026-03-24 10:00:00,1.16087,1.16093,1.15817,1.15883,8586,0,0
2026-03-24 11:00:00,1.15883,1.1596899999999999,1.1578,1.15947,6303,0,0
2026-03-24 12:00:00,1.15948,1.15963,1.15832,1.15921,5096,0,0
2026-03-24 13:00:00,1.15921,1.16005,1.15783,1.15892,6114,0,0
2026-03-24 14:00:00,1.15892,1.15993,1.158,1.15846,7854,0,0
2026-03-24 15:00:00,1.15846,1.15906,1.15668,1.15774,12937,0,0
2026-03-24 16:00:00,1.15766,1.16071,1.15766,1.15893,12992,0,0
